X,Y,DATEEND,TIMESTART,TIMEEND,ADDRESS,CODE_DEFINED,LAT,LONG,CRIME_WEIGHT
-8479620.05618786,5322321.931704,2023/08/24 00:00:00+00,1341,1341,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/08/24 00:00:00+00,1730,1730,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/11/29 00:00:00+00,1530,1536,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8477064.77293645,5319664.51783748,2023/03/26 00:00:00+00,0525,530,0 S WARREN ST & E WATER ST        ,MV THEFT,43.0505190000001,-76.1507685,2
-8479620.05618786,5322321.931704,2023/07/25 00:00:00+00,1959,2030,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8477072.78782847,5318898.1493206,2023/06/10 00:00:00+00,2100,2300,0 S WARREN ST & MADISON ST        ,LARCENY,43.045488,-76.150840499,2
-8479620.05618786,5322321.931704,2023/08/17 00:00:00+00,0003,3,1 DESTINY USA DR,BURGLARY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/12/01 00:00:00+00,1150,1150,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/08/18 00:00:00+00,1525,1540,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/08/18 00:00:00+00,1930,1930,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/08/16 00:00:00+00,2050,2050,1 DESTINY USA DR,BURGLARY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/08/22 00:00:00+00,2014,2014,1 DESTINY USA DR,BURGLARY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/04/24 00:00:00+00,1451,1451,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/11/06 00:00:00+00,1435,1435,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/04/14 00:00:00+00,1617,1618,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/05/05 00:00:00+00,1220,1220,1 DESTINY USA DR,BURGLARY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/04/23 00:00:00+00,1800,1830,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/11/29 00:00:00+00,1334,1334,1 DESTINY USA DR,BURGLARY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/04/16 00:00:00+00,1528,1528,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/05/01 00:00:00+00,1500,1517,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/08/19 00:00:00+00,1415,1415,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/08/22 00:00:00+00,1300,1300,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/08/25 00:00:00+00,1930,2000,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/08/24 00:00:00+00,1901,1901,1 DESTINY USA DR,BURGLARY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/11/05 00:00:00+00,0313,1500,1 DESTINY USA DR,BURGLARY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/12/02 00:00:00+00,1635,1635,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/04/20 00:00:00+00,2005,2010,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/08/25 00:00:00+00,1646,1700,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/11/06 00:00:00+00,1620,1620,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/11/06 00:00:00+00,1242,1242,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/04/28 00:00:00+00,1927,1927,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/08/19 00:00:00+00,1700,1700,1 DESTINY USA DR,BURGLARY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/08/20 00:00:00+00,1520,1520,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/12/01 00:00:00+00,1845,1900,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/08/04 00:00:00+00,1351,1351,1 DESTINY USA DR,BURGLARY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/06/19 00:00:00+00,1649,1649,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/11/06 00:00:00+00,1929,1929,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/11/14 00:00:00+00,1246,1246,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/06/15 00:00:00+00,1424,1424,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/11/14 00:00:00+00,1440,1445,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/11/14 00:00:00+00,1544,1544,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/07/22 00:00:00+00,1300,1329,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/07/26 00:00:00+00,1926,2000,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/07/23 00:00:00+00,1421,1421,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/11/22 00:00:00+00,1800,1815,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/11/13 00:00:00+00,1836,1836,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8477382.0499605,5318739.12727371,2023/05/19 00:00:00+00,2323,2323,100 DICKERSON ST     ,LARCENY,43.044444012,-76.153618648,320
-8477382.0499605,5318739.12727371,2023/05/24 00:00:00+00,1505,1505,100 DICKERSON ST     ,LARCENY,43.044444012,-76.153618648,320
-8477382.0499605,5318739.12727371,2023/07/17 00:00:00+00,1932,1932,100 DICKERSON ST     ,LARCENY,43.044444012,-76.153618648,320
-8479620.05618786,5322321.931704,2023/06/10 00:00:00+00,1300,1300,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8477382.0499605,5318739.12727371,2023/12/25 00:00:00+00,2007,2007,100 DICKERSON ST     ,LARCENY,43.044444012,-76.153618648,320
-8479620.05618786,5322321.931704,2023/07/08 00:00:00+00,1850,1850,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8476123.9687278,5318117.98051142,2023/09/06 00:00:00+00,1700,2308,100 DYER CT     ,BURGLARY,43.040365981,-76.1423171119999,40
-8477219.99872684,5319129.18917651,2023/06/20 00:00:00+00,1340,1410,100 E  JEFFERSON ST     ,LARCENY,43.047004757,-76.1521629169999,17
-8476521.65148609,5316080.13570293,2023/03/14 00:00:00+00,1430,1757,100 E BEARD AV   ,BURGLARY,43.026984962,-76.145889557,10
-8476192.04627371,5315113.72041438,2023/07/28 00:00:00+00,0500,122,100 E BRIGHTON AV   ,MV THEFT,43.020638208,-76.142928663,6
-8479620.05618786,5322321.931704,2023/06/10 00:00:00+00,1250,1250,1 DESTINY USA DR,LARCENY,43.067961,-76.1737229999999,1405
-8479620.05618786,5322321.931704,2023/07/03 00:00:00+00,1345,1345,1 DESTINY USA DR,BURGLARY,43.067961,-76.1737229999999,1405
-8476192.04627371,5315113.72041438,2023/08/04 00:00:00+00,2200,800,100 E BRIGHTON AV   ,MV THEFT,43.020638208,-76.142928663,6
-8476192.04627371,5315113.72041438,2023/05/02 00:00:00+00,0756,756,100 E BRIGHTON AV   ,LARCENY,43.020638208,-76.142928663,6
-8477219.99872684,5319129.18917651,2023/08/04 00:00:00+00,1348,1348,100 E JEFFERSON ST     ,BURGLARY,43.047004757,-76.1521629169999,10
