X,Y,OBJECTID,DATEEND,TIMESTART,TIMEEND,ADDRESS,CODE_DEFINED,ARREST
,,1,2018/01/01,1120,1120,0 DESTINY USA DR,LARCENY,
-76.147296836231,43.0381894195833,2,2018/01/01,2230,2230,300 BURT ST,ROBBERY,
-76.1244394467127,43.0382401277983,3,2018/01/01,1839,1839,400 CLARENDON ST,BURGLARY,
-76.1457209815139,43.0604685541874,4,2018/01/01,0225,0225,700 BUTTERNUT ST,AGGRAVATED ASSAULT,
-76.1410710002967,43.0471799997188,5,2018/01/01,0248,0248,700 E  GENESEE ST,AGGRAVATED ASSAULT,
-76.142096301058,43.0426578422063,6,2018/01/01,0025,0025,700 E  ADAMS ST,AGGRAVATED ASSAULT,
-76.142096301058,43.0426578422063,7,2018/01/01,0515,0515,700 E  ADAMS ST,AGGRAVATED ASSAULT,
-76.1108309998494,43.0349759998546,8,2018/01/02,1600,1630,1000 MEADOWBROOK DR,LARCENY,
-76.1379197076186,43.0426236784427,9,2018/01/01,0248,0248,700 IRVING AV,ROBBERY,A
-76.1712525002557,43.0539839999006,10,2018/01/02,1700,1700,1000 W  GENESEE ST,LARCENY,
-76.1572755004728,43.0361370002108,11,2018/01/02,1300,1300,200 LINCOLN AV,LARCENY,
-76.1314776718343,43.0059075224242,12,2018/01/01,2000,1300,800 E  BRIGHTON AV,MV THEFT,
-76.1469975001274,43.0698060003394,13,2018/01/02,1849,1849,400 GRIFFITHS ST,BURGLARY,
-76.1659979974971,43.0687486309174,14,2018/01/02,0250,0250,100 WOLF ST,BURGLARY,
-76.1977560938861,43.0568153790243,15,2018/01/02,2000,2000,1100 AVERY AV,MV THEFT,
-76.1541750006086,43.0467209998646,16,2018/01/02,1653,1653,500 S  CLINTON ST,AGGRAVATED ASSAULT,
-76.1365368060498,43.0711979018253,17,2018/01/02,1700,1000,1400 OAK ST,BURGLARY,
-76.132368000284,43.0465499999214,18,2018/01/02,0845,0845,500 WALNUT AV,LARCENY,
-76.1442119994777,43.0542630002427,19,2018/01/02,1000,1100,600 JAMES ST,LARCENY,
-76.1486939996795,43.0706879995579,20,2018/01/02,1929,1929,700 FIRST NORTH ST,LARCENY,
-76.1431233585157,43.0069481018677,21,2018/01/02,1700,1400,4300 S  SALINA ST,LARCENY,
,,22,2018/01/03,1759,1759,0 DESTINY USA DR,LARCENY,
,,23,2018/01/03,1420,1420,0 DESTINY USA DR,LARCENY,
-76.1390380023042,43.0533434711092,24,2018/01/03,0800,1200,100 GERTRUDE ST,LARCENY,
-76.0966154994771,43.0640100003366,25,2018/01/03,0000,0000,1200 S  GLENCOVE RD,LARCENY,
-76.1413549990599,43.0620789885528,26,2018/01/03,1945,2040,100 JASPER ST,BURGLARY,
-76.1114699994884,43.0659810001195,27,2018/01/03,2225,2225,200 FOREST HILL DR,MV THEFT,
-76.1700520850606,43.034184456791,28,2018/01/03,2050,2050,1100 W  ONONDAGA ST,BURGLARY,
-76.1957748936475,43.0575711014842,29,2018/01/03,1250,1254,1100 WILLIS AV,LARCENY,
-76.1667029996614,43.0161030001025,30,2018/01/03,2300,1300,300 HUTCHINSON AV,BURGLARY,
-76.141152000188,43.0607159997159,31,2018/01/03,0800,0810,500 HIGHLAND ST,MV THEFT,
-76.1588686995842,43.0508455338302,32,2018/01/03,1700,1700,200 N  WEST ST,LARCENY,
-76.1541750006086,43.0467209998646,33,2018/01/03,1241,1241,500 S  CLINTON ST,AGGRAVATED ASSAULT,
-76.1859495005162,43.0466220003239,34,2018/01/03,0000,1156,500 TOMPKINS ST,LARCENY,
,,35,2018/01/03,1311,1311,200 WINDING RIDGE RD,LARCENY,
-76.1317559995431,43.051949999637,36,2018/01/03,0733,0733,700 BURNET AV,BURGLARY,
-76.1614720432082,43.0669141012222,37,2018/01/03,1135,1230,2500 LODI ST,AGGRAVATED ASSAULT,
-76.1578651600362,43.0630684786379,38,2018/01/03,0030,1000,300 BASIN ST,LARCENY,
-76.144347000276,43.0717410001447,39,2018/01/04,1259,1259,200 WARHAM ST,BURGLARY,A
-76.1084775003808,43.0432290003205,40,2018/01/04,1441,1441,2700 E  GENESEE ST,LARCENY,
-76.1667029996614,43.0161030001025,41,2018/01/04,1800,1545,300 HUTCHINSON AV,BURGLARY,
-76.1481180000247,43.0491060000958,42,2018/01/04,0800,1950,300 W  WASHINGTON ST,LARCENY,
-76.1422562587497,43.0106710561437,43,2018/01/03,1740,1800,3900 S  SALINA ST,LARCENY,
-76.1469975001274,43.0698060003394,44,2018/01/04,0000,0000,400 GRIFFITHS ST,LARCENY,
-76.158989835943,43.0352772430513,45,2018/01/03,1420,1420,400 SOUTH AV,LARCENY,
-76.1771930187492,43.033923910382,46,2018/01/04,2144,2144,1400 W  ONONDAGA ST,BURGLARY,
-76.141410268052,43.0630618703746,47,2018/01/04,2310,2310,800 HIGHLAND ST,MV THEFT,
,,48,2018/01/05,0121,0121,UNKNOWN,AGGRAVATED ASSAULT,
-76.1187600004995,43.0317720004326,49,2018/01/05,1624,1700,1100 WESTCOTT ST,LARCENY,
-76.166707500558,43.0384860003076,50,2018/01/05,0001,2359,200 GRACE ST,LARCENY,
,,51,2018/01/05,1320,1320,0 DESTINY USA DR,LARCENY,
-76.1497020001766,43.0586009997243,52,2018/01/05,1718,1718,400 BUTTERNUT ST,LARCENY,
