ObjectID,Loc_name,Status,Score,Match_type,Match_addr,LongLabel,ShortLabel,Addr_type,Type,PlaceName,Place_addr,Phone,URL,Rank,AddBldg,AddNum,AddNumFrom,AddNumTo,AddRange,Side,StPreDir,StPreType,StName,StType,StDir,BldgType,BldgName,LevelType,LevelName,UnitType,UnitName,SubAddr,StAddr,Block,Sector,Nbrhd,District,City,MetroArea,Subregion,Region,RegionAbbr,Territory,Zone,Postal,PostalExt,Country,LangCode,Distance,X,Y,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax,ExInfo,IN_SingleLine,USER_DATEEND,USER_TIMESTART,USER_TIMEEND,USER_ADDRESS,USER_CODE_DEFINED,USER_Arrest,USER_LarcenyCode
1,SyrPoints,M,85.33,A,"1 DESTINY USA, 13204","1 DESTINY USA, 13204",1 DESTINY USA,PointAddress,,,"1 DESTINY USA, 13204",,,20,AERIE,1,,,,,,,DESTINY USA,,,,,,,,,,1 DESTINY USA,,,,,,,,,,,,13204,,,ENG,0,929661.248759723,1118108.16963039,929661.248759723,1118108.16963039,929395.812633645,929926.676166684,1117742.40786717,1118473.93464837,DR,1 DESTINY USA DR,2022/12/31 00:00:00+00,0432,0432,1 DESTINY USA DR,BURGLARY,,From Building
2,SyrPoints,M,91.43,A,"500 BUTTERNUT, 13208","500 BUTTERNUT, 13208",500 BUTTERNUT,PointAddress,,,"500 BUTTERNUT, 13208",,,20,BOOST MOBILE,500,,,,,,,BUTTERNUT,,,,,,,,,,500 BUTTERNUT,,,,,,,,,,,,13208,,,ENG,0,936667.987144077,1114889.49568739,936667.987144077,1114889.49568739,936402.625488643,936933.340079794,1114523.65112526,1115255.34350463,ST,500 BUTTERNUT ST,2022/12/31 00:00:00+00,2135,2135,500 BUTTERNUT ST,LARCENY,,Shoplifting
3,SyrPoints,M,90.77,A,"500 S CLINTON, 13202","500 S CLINTON, 13202",500 S CLINTON,PointAddress,,,"500 S CLINTON, 13202",,,20,JEFFERSON CLINTON COMMONS,500,,,,,S,,CLINTON,,,,,,,,,,500 S CLINTON,,,,,,,,,,,,13202,,,ENG,0,934924.277086025,1110393.18448733,934924.277086025,1110393.18448733,934658.832836577,935189.712618303,1110027.36182405,1110759.01040556,ST,500 S  CLINTON ST,2022/12/31 00:00:00+00,1303,1303,500 S  CLINTON ST,LARCENY,,From Building
4,SyrStreets,M,100,A,4700 ONONDAGA BLVD,4700 ONONDAGA BLVD,4700 ONONDAGA BLVD,StreetAddress,,,4700 ONONDAGA BLVD,,,20,,4700,4670,4730,4670-4730,R,,,ONONDAGA,BLVD,,,,,,,,,4700 ONONDAGA BLVD,,,,,,,,,,,,,,,ENG,0,924463.317209133,1105108.14805164,924463.317209133,1105108.14805164,924197.639918679,924728.985787859,1104742.45139373,1105473.84796385,,4700 ONONDAGA BLVD,2022/12/31 00:00:00+00,1840,1840,4700 ONONDAGA BLVD,LARCENY,,From Building
5,SyrPoints,M,90,A,"600 S GEDDES, 13204","600 S GEDDES, 13204",600 S GEDDES,PointAddress,,,"600 S GEDDES, 13204",,,20,CHINA HOUSE,600,,,,,S,,GEDDES,,,,,,,,,,600 S GEDDES,,,,,,,,,,,,13204,,,ENG,0,930083.416719405,1108512.36567581,930083.416719405,1108512.36567581,929817.871439629,930348.953284282,1108146.60119523,1108878.13341105,ST,600 S  GEDDES ST,2022/12/31 00:00:00+00,1106,1106,600 S  GEDDES ST,AGGRAVATED ASSAULT,Yes,
6,SyrStreets,M,100,A,600 PARK ST,600 PARK ST,600 PARK ST,StreetAddress,,,600 PARK ST,,,20,,600,600,698,600-698,R,,,PARK,ST,,,,,,,,,600 PARK ST,,,,,,,,,,,,,,,ENG,0,938262.629460168,1116363.76478929,938262.629460168,1116363.76478929,937997.311445449,938527.938754033,1115997.90084222,1116729.63199155,,600 PARK ST,2022/12/31 00:00:00+00,1101,1101,600 PARK ST,LARCENY,,From Mailbox
7,SyrPoints,M,89.09,A,"600 SEELEY, 13224","600 SEELEY, 13224",600 SEELEY,PointAddress,,,"600 SEELEY, 13224",,,20,,600,,,,,,,SEELEY,,,,,,,,,,600 SEELEY,,,,,,,,,,,,13224,,,ENG,0,948359.145820709,1111085.86055339,948359.145820709,1111085.86055339,948093.927195225,948624.35572478,1110719.87748905,1111451.84687344,RD,600 SEELEY RD,2022/12/31 00:00:00+00,2210,2210,600 SEELEY RD,AGGRAVATED ASSAULT,,
8,SyrPoints,M,92.5,A,"700 KIRKPATRICK, 13208","700 KIRKPATRICK, 13208",700 KIRKPATRICK,PointAddress,,,"700 KIRKPATRICK, 13208",,,20,,700,,,,,,,KIRKPATRICK,,,,,,,,,,700 KIRKPATRICK,,,,,,,,,,,,13208,,,ENG,0,935230.304090788,1118739.60887138,935230.304090788,1118739.60887138,934964.965751087,935495.633709452,1118373.78051607,1119105.44048175,ST,700 KIRKPATRICK ST,2022/12/31 00:00:00+00,2327,2327,700 KIRKPATRICK ST,AGGRAVATED ASSAULT,,
9,SyrPoints,M,88,A,"100 DAVIS, 13204","100 DAVIS, 13204",100 DAVIS,PointAddress,,,"100 DAVIS, 13204",,,20,,100,,,,,,,DAVIS,,,,,,,,,,100 DAVIS,,,,,,,,,,,,13204,,,ENG,0,931528.456547,1107735.52076302,931528.456547,1107735.52076302,931262.925248685,931793.979130337,1107369.73924034,1108101.30554042,ST,100 DAVIS ST,2022/12/30 00:00:00+00,1033,1033,100 DAVIS ST,AGGRAVATED ASSAULT,Yes,
10,SyrPoints,M,90,A,"300 HERBERT, 13208","300 HERBERT, 13208",300 HERBERT,PointAddress,,,"300 HERBERT, 13208",,,20,,300,,,,,,,HERBERT,,,,,,,,,,300 HERBERT,,,,,,,,,,,,13208,,,ENG,0,936447.296688501,1118253.85287214,936447.296688501,1118253.85287214,936181.972169086,936712.61248674,1117888.01011673,1118619.69888269,ST,300 HERBERT ST,2022/12/30 00:00:00+00,2200,2200,300 HERBERT ST,BURGLARY,,From Building
