X,Y,DATEEND,TIMESTART,TIMEEND,ADDRESS,Arrest,LarcenyCode,CODE_DEFINED,LAT,LONG,ObjectId
-8475885.40894396,5312805.05741224,2024/01/05 05:00:00+00,725,1000,300 E GLEN AV ,,All Other,LARCENY,43.005473834,-76.140174093,1
-8475885.40894396,5312805.05741224,2024/01/18 05:00:00+00,1134,745,300 E GLEN AV   ,,All Other,LARCENY,43.005473834,-76.140174093,2
-8477665.39724903,5319413.6246224,2024/02/03 05:00:00+00,1020,1020,300 W  FAYETTE ST     ,,,BURGLARY,43.0488720000001,-76.156164,3
-8476738.16143914,5315782.59678606,2024/01/29 05:00:00+00,1909,1909,300 W COLVIN ST     ,,,AGGRAVATED ASSAULT,43.0250310000001,-76.1478344989999,4
-8477327.26429575,5316454.14151116,2024/02/21 05:00:00+00,756,756,300 W KENNEDY ST   ,,All Other,LARCENY,43.0294410000001,-76.1531265,5
-8476795.26844924,5314110.79702479,2024/02/10 05:00:00+00,857,900,300 W OSTRANDER AV   ,,Motor Vehicle,MV THEFT,43.0140510000001,-76.1483474999999,6
-8475107.10848268,5318278.51983894,2024/02/13 05:00:00+00,1332,1332,300 WALNUT PL     ,,From Mailbox,LARCENY,43.0414200000001,-76.133182501,7
-8476757.19718339,5313546.28954092,2024/01/27 05:00:00+00,1645,700,3100 MIDLAND AV   ,,All Other,BURGLARY,43.010343,-76.1480055,8
-8481634.32671402,5319383.46305018,2024/01/06 05:00:00+00,30,1000,400 AVERY AV ,,From Building,BURGLARY,43.0486740000001,-76.1918175,9
-8476072.9163848,5319909.93356591,2024/01/28 05:00:00+00,1730,1030,400 BURNET AV ,Yes,Motor Vehicle,MV THEFT,43.05213,-76.1418585009999,10
-8476946.05069952,5320895.77455066,2024/02/23 05:00:00+00,849,1224,400 BUTTERNUT ST   ,,Shoplifting,LARCENY,43.0586010000001,-76.1497019999999,11
-8476946.05069952,5320895.77455066,2024/01/08 05:00:00+00,2200,2200,400 BUTTERNUT ST   ,,,ROBBERY,43.0586010000001,-76.1497019999999,12
-8476944.97145706,5320019.91755104,2024/01/01 05:00:00+00,148,148,300 E WILLOW ST     ,,From Building,BURGLARY,43.052851962,-76.149692305,13
-8476944.97145706,5320019.91755104,2024/01/22 05:00:00+00,345,355,300 E WILLOW ST     ,,From Motor Vehicle,LARCENY,43.052851962,-76.149692305,14
-8476530.78402579,5312580.06107325,2024/01/19 05:00:00+00,1315,1325,300 FERNDALE DR     ,Yes,Motor Vehicle,MV THEFT,43.003995753,-76.145971596,15
-8479570.19295968,5317767.32522224,2024/02/13 05:00:00+00,2300,142,300 FITCH ST     ,,,AGGRAVATED ASSAULT,43.0380636950001,-76.173275071,16
-8477308.18446898,5315161.96774531,2024/01/28 05:00:00+00,900,757,300 HATCH ST   ,,Motor Vehicle,MV THEFT,43.020955079,-76.152955103,17
-8475358.87432035,5315635.76287876,2024/02/20 05:00:00+00,930,1635,300 JAMESVILLE AV   ,,From Motor Vehicle,LARCENY,43.024066707,-76.1354441519999,18
-8477259.23105499,5316288.18248446,2024/02/15 05:00:00+00,1200,1215,300 KIRK AV ,,Motor Vehicle,MV THEFT,43.0283511850001,-76.152515347,19
-8476912.28760928,5319373.45369499,2024/02/15 05:00:00+00,1900,800,300 MONTGOMERY ST   ,,From Motor Vehicle,LARCENY,43.048608292,-76.1493987009999,20
-8474469.7022066,5320013.73843745,2024/01/14 05:00:00+00,300,444,300 N BEECH ST   ,Yes,,AGGRAVATED ASSAULT,43.052811401,-76.127456583,21
-8474469.7022066,5320013.73843745,2024/01/15 05:00:00+00,900,1900,300 N BEECH ST     ,,All Other,BURGLARY,43.052811401,-76.127456583,22
-8475455.92510146,5320089.91970885,2024/02/07 05:00:00+00,520,520,300 N CROUSE AV ,Yes,From Building,BURGLARY,43.0533114690001,-76.136315974,23
-8474638.33976924,5318684.59489355,2024/02/25 05:00:00+00,1530,1745,300 OSTROM AVE    ,,,BURGLARY,43.044086,-76.12897148,24
-8476893.06763128,5320467.80410322,2024/01/18 05:00:00+00,1625,1625,300 PROSPECT AV   ,,From Building,LARCENY,43.0557919120001,-76.149226045,25
-8476893.06763128,5320467.80410322,2024/02/15 05:00:00+00,1740,630,300 PROSPECT AV ,,Of MV Parts/Accessories,LARCENY,43.0557919120001,-76.149226045,26
-8477208.76926189,5320100.95281229,2024/01/08 05:00:00+00,237,237,300 N SALINA ST   ,,From Building,BURGLARY,43.0533838920001,-76.152062041,27
-8479659.39271105,5317456.1451807,2024/01/30 05:00:00+00,1945,1949,300 ROWLAND ST   ,,Motor Vehicle,MV THEFT,43.036020518,-76.174076366,28
-8474502.81418913,5319329.62062053,2024/02/03 05:00:00+00,1300,1526,300 S BEECH ST     ,,Motor Vehicle,MV THEFT,43.0483205420001,-76.127754033,29
-8474502.81418913,5319329.62062053,2024/01/25 05:00:00+00,2021,2021,300 S BEECH ST     ,,,ROBBERY,43.0483205420001,-76.127754033,30
-8480744.95155352,5319643.42289698,2024/01/27 05:00:00+00,2200,330,300 SCHUYLER ST     ,,From Building,BURGLARY,43.0503805230001,-76.183828107,31
-8473063.67158202,5323372.18669726,2024/01/05 05:00:00+00,800,930,300 TAFT AV   ,,,BURGLARY,43.0748530060001,-76.114825995,32
-8474828.08606769,5318377.21912917,2024/02/16 05:00:00+00,2000,600,400 COMSTOCK AV ,,From Motor Vehicle,LARCENY,43.042068,-76.1306759999999,33
-8478208.41372512,5318714.44956993,2024/02/11 05:00:00+00,2115,1150,400 FABIUS ST   ,,From Motor Vehicle,LARCENY,43.0442820000001,-76.161042,34
-8480713.60320568,5320617.42504047,2024/02/13 05:00:00+00,20,30,0 HIAWATHA BLVD W & STATE FAIR BLVD    ,,,ROBBERY,43.0567740000001,-76.1835465,35
