X,Y,DATEEND,TIMESTART,TIMEEND,ADDRESS,QualityOfLife,CODE_DEFINED,LAT,LONG,ObjectId
-8479660.77663496,5317441.63196223,2024/01/20 05:00:00+00,355,355,1200 S  GEDDES ST     ,True,CRIMINAL MISCHIEF,43.035925224,-76.174088798,1
-8472375.99598424,5321695.21852126,2024/01/20 05:00:00+00,941,1000,300 HILLSDALE AVE    ,False,CRIMINAL MISCHIEF,43.0638480000001,-76.1086485,2
-8477443.98289316,5319085.96548592,2024/01/21 05:00:00+00,11,11,500 S  CLINTON ST     ,False,OFFN AGAINST FAMILY,43.046721,-76.1541750009999,3
-8480678.03662837,5319990.82619624,2024/01/13 05:00:00+00,941,941,1800 E  FAYETTE ST     ,False,SIMPLE ASSAULT,43.0526610000001,-76.183227,4
-8476040.66312082,5321574.40713318,2024/01/20 05:00:00+00,1056,1056,600 PARK ST     ,False,OFFN AGAINST FAMILY,43.063055106,-76.141568765,5
-8476797.59001722,5314625.23354236,2024/01/20 05:00:00+00,2000,2000,300 W  NEWELL ST     ,False,CRIMINAL MISCHIEF,43.0174299110001,-76.1483683549999,6
-8481031.43504606,5319259.4902617,2024/01/20 05:00:00+00,1800,2000,200 MILTON AVE    ,False,CRIMINAL MISCHIEF,43.0478601560001,-76.186401632,7
-8477419.24781362,5316757.39235437,2024/01/13 05:00:00+00,957,957,400 CORTLAND AVE    ,True,CRIMINAL MISCHIEF,43.031432329,-76.1539528019999,8
-8475470.22230894,5319347.17210528,2024/01/20 05:00:00+00,0,0,1000 E  FAYETTE ST     ,False,CRIMINAL MISCHIEF,43.0484357620001,-76.136444408,9
-8480657.49818231,5317155.88877369,2024/01/21 05:00:00+00,430,520,1700 W  ONONDAGA ST     ,False,SIMPLE ASSAULT,43.034049,-76.1830424999999,10
-8471794.9082423,5319405.39872941,2024/01/13 05:00:00+00,131,131,100 W  FAYETTE ST     ,False,CRIMINAL MISCHIEF,43.048818,-76.1034284999999,11
-8478888.18619564,5317945.41743032,2024/01/31 05:00:00+00,2114,2114,200 SABINE ST   ,False,SIMPLE ASSAULT,43.0392330000001,-76.1671484999999,12
-8477650.36911777,5323796.31344186,2024/01/13 05:00:00+00,945,945,400 BURDICK AVE    ,False,CRIMINAL MISCHIEF,43.077636,-76.156029,13
-8477360.96649422,5319958.27101767,2024/01/21 05:00:00+00,24,24,300 N  CLINTON ST     ,False,SIMPLE ASSAULT,43.0524473,-76.153429252,14
-8477125.38639919,5322707.30576476,2024/02/14 05:00:00+00,1109,1109,900 FIRST NORTH ST     ,False,OFFN AGAINST FAMILY,43.0704900000001,-76.151313,15
-8477327.26429575,5316454.14151116,2024/01/31 05:00:00+00,1837,1837,300 W  KENNEDY ST   ,False,CRIMINAL MISCHIEF,43.0294410000001,-76.1531265,16
-8475444.23956055,5320037.44260641,2024/01/13 05:00:00+00,1530,1530,500 HAWLEY AVE    ,False,POSSESSION/USE DANGEROUS WEAPONS,43.0529670000001,-76.1362110009999,17
-8476121.83773879,5317979.36347985,2024/01/21 05:00:00+00,39,39,1200 ALMOND ST     ,False,DRIVING UNDER INFLUENCE,43.0394558780001,-76.142297969,18
-8476769.7206261,5319449.27024237,2024/02/14 05:00:00+00,1614,1614,300 E  WASHINGTON ST     ,False,CRIMINAL MISCHIEF,43.0491060000001,-76.148118,19
-8478715.36257487,5317734.32163876,2023/01/07 05:00:00+00,1731,1731,300 KELLOGG ST   ,False,SIMPLE ASSAULT,43.0378470000001,-76.1655959989999,20
-8475203.78934911,5319028.38640624,2024/01/31 05:00:00+00,1844,1844,1100 W  GENESEE ST   ,True,POSSESSION/USE DRUG,43.046343,-76.1340509999999,21
-8476087.32802872,5320102.48141832,2024/01/13 05:00:00+00,1636,1636,300 CATHERINE ST     ,False,OFFN AGAINST FAMILY,43.0533939260001,-76.141987963,22
-8479620.05618786,5322321.931704,2024/01/21 05:00:00+00,41,41,1 DESTINY USA DR,False,SIMPLE ASSAULT,43.067961,-76.1737229999999,23
-8476281.80740928,5320496.76379018,2024/02/14 05:00:00+00,1727,1745,500 CATHERINE ST     ,False,OFFN AGAINST FAMILY,43.055982,-76.143735001,24
-8476022.82250263,5321743.21476176,2023/01/08 05:00:00+00,1146,1146,900 HIGHLAND ST   ,False,SIMPLE ASSAULT,43.0641630000001,-76.1414085,25
-8475634.45195371,5318461.85734246,2024/01/25 05:00:00+00,1053,1053,700 IRVING AVE    ,False,CRIMINAL MISCHIEF,43.042623678,-76.137919708,26
-8477215.79697267,5317128.91469417,2024/01/13 05:00:00+00,1820,1820,300 CORTLAND AVE    ,True,CRIMINAL MISCHIEF,43.033871882,-76.152125172,27
-8477972.16459995,5322229.47187567,2024/01/21 05:00:00+00,207,207,300 COURT ST     ,True,CRIMINAL MISCHIEF,43.0673542210001,-76.158919738,28
-8475950.68747259,5314121.75867248,2024/02/12 05:00:00+00,1700,900,100 W  OSTRANDER AVE    ,True,CRIMINAL MISCHIEF,43.014123,-76.1407604999999,29
-8474959.83268504,5319083.22361694,2023/01/12 05:00:00+00,2155,2155,1200 W  GENESEE ST     ,True,CRIMINAL MISCHIEF,43.046703,-76.1318595,30
-8477765.01260856,5324235.00103532,2024/01/25 05:00:00+00,1322,1322,1100 WOLF ST     ,False,OFFN AGAINST FAMILY,43.080514405,-76.1570588599999,31
-8477137.07505704,5322012.70329972,2024/01/06 05:00:00+00,2105,2119,500 POND ST   ,False,OFFN AGAINST FAMILY,43.0659316270001,-76.151418001,32
-8476222.19571064,5322105.25149323,2024/01/13 05:00:00+00,1937,1937,1200 BUTTERNUT ST     ,False,DRIVING UNDER INFLUENCE,43.066539,-76.1431995,33
-8476833.8406528,5322737.47807061,2024/01/21 05:00:00+00,1123,1123,700 FIRST NORTH ST     ,True,SIMPLE ASSAULT,43.0706880000001,-76.148694,34
-8475622.07233577,5323853.92191841,2024/02/14 05:00:00+00,2238,2238,100 HARDING ST     ,False,SIMPLE ASSAULT,43.0780140000001,-76.1378084999999,35
