X,Y,DATEEND,TIMESTART,TIMEEND,ADDRESS,CODE_DEFINED,latitude,longitude,CRIME_WEIGHT
-8477382.0499605,5318739.12727371,2023/05/19 00:00:00+00,2323,2323,100 DICKERSON ST     ,LARCENY,43.044381251569725,-76.1536130362966,320
-8477382.0499605,5318739.12727371,2023/05/24 00:00:00+00,1505,1505,100 DICKERSON ST     ,LARCENY,43.044381251569725,-76.1536130362966,320
-8477382.0499605,5318739.12727371,2023/07/17 00:00:00+00,1932,1932,100 DICKERSON ST     ,LARCENY,43.044381251569725,-76.1536130362966,320
-8477382.0499605,5318739.12727371,2023/12/25 00:00:00+00,2007,2007,100 DICKERSON ST     ,LARCENY,43.044381251569725,-76.1536130362966,320
-8469837.74461491,5318558.17053548,2023/10/20 00:00:00+00,1220,1220,100 GIFFORD ST     ,MV THEFT,43.043327723958384,-76.085657892162,100
-8476222.69664835,5321729.50152502,2023/07/12 00:00:00+00,0400,400,1000 BUTTERNUT ST     ,BURGLARY,43.06399285955442,-76.1431987426224,124
-8476222.69664835,5321729.50152502,2023/07/27 00:00:00+00,0918,918,1000 BUTTERNUT ST     ,MV THEFT,43.06399285955442,-76.1431987426224,124
-8477567.71439586,5312688.6322306,2023/09/05 00:00:00+00,1800,1000,100 SMITH LN     ,BURGLARY,43.00484015925489,-76.15535255347613,109
-8477567.71439586,5312688.6322306,2023/03/16 00:00:00+00,1900,1900,100 SMITH LN     ,LARCENY,43.00484015925489,-76.15535255347613,109
-8479122.98293542,5317502.05369699,2023/06/02 00:00:00+00,0350,355,200 FITCH ST     ,LARCENY,43.03626820701083,-76.1692996593745,162
-8471858.51441823,5320115.25642467,2023/05/25 00:00:00+00,1054,1054,2500 ERIE BLVD E ,LARCENY,43.053478371990415,-76.10403354272995,252
-8471858.51441823,5320115.25642467,2023/09/05 00:00:00+00,1640,1640,2500 ERIE BLVD E ,LARCENY,43.053478371990415,-76.10403354272995,252
-8471858.51441823,5320115.25642467,2023/05/30 00:00:00+00,1926,1926,2500 ERIE BLVD E ,BURGLARY,43.053478371990415,-76.10403354272995,252
-8479122.98293542,5317502.05369699,2023/05/11 00:00:00+00,1700,1800,200 FITCH ST     ,BURGLARY,43.03626820701083,-76.1692996593745,162
-8471858.51441823,5320115.25642467,2023/07/12 00:00:00+00,1847,1847,2500 ERIE BLVD E ,BURGLARY,43.053478371990415,-76.10403354272995,252
-8471858.51441823,5320115.25642467,2023/06/01 00:00:00+00,1030,1030,2500 ERIE BLVD E ,LARCENY,43.053478371990415,-76.10403354272995,252
-8471858.51441823,5320115.25642467,2023/07/11 00:00:00+00,1226,1226,2500 ERIE BLVD E ,LARCENY,43.053478371990415,-76.10403354272995,252
-8471858.51441823,5320115.25642467,2023/10/16 00:00:00+00,1713,1713,2500 ERIE BLVD E ,LARCENY,43.053478371990415,-76.10403354272995,252
-8471858.51441823,5320115.25642467,2023/07/10 00:00:00+00,1037,1037,2500 ERIE BLVD E ,LARCENY,43.053478371990415,-76.10403354272995,252
-8471858.51441823,5320115.25642467,2023/03/15 00:00:00+00,1523,1523,2500 ERIE BLVD E ,LARCENY,43.053478371990415,-76.10403354272995,252
-8471858.51441823,5320115.25642467,2023/11/17 00:00:00+00,0855,855,2500 ERIE BLVD E ,LARCENY,43.053478371990415,-76.10403354272995,252
-8471858.51441823,5320115.25642467,2023/05/29 00:00:00+00,2139,2139,2500 ERIE BLVD E ,BURGLARY,43.053478371990415,-76.10403354272995,252
-8471858.51441823,5320115.25642467,2023/05/21 00:00:00+00,1530,1530,2500 ERIE BLVD E ,LARCENY,43.053478371990415,-76.10403354272995,252
-8471858.51441823,5320115.25642467,2023/06/03 00:00:00+00,2340,2340,2500 ERIE BLVD E ,BURGLARY,43.053478371990415,-76.10403354272995,252
-8471858.51441823,5320115.25642467,2023/09/22 00:00:00+00,2329,2329,2500 ERIE BLVD E ,BURGLARY,43.053478371990415,-76.10403354272995,252
-8471858.51441823,5320115.25642467,2023/06/10 00:00:00+00,2318,2318,2500 ERIE BLVD E ,BURGLARY,43.053478371990415,-76.10403354272995,252
-8471858.51441823,5320115.25642467,2023/10/14 00:00:00+00,1618,1618,2500 ERIE BLVD E ,LARCENY,43.053478371990415,-76.10403354272995,252
-8471858.51441823,5320115.25642467,2023/07/03 00:00:00+00,0925,1030,2500 ERIE BLVD E ,LARCENY,43.053478371990415,-76.10403354272995,252
-8471858.51441823,5320115.25642467,2023/09/24 00:00:00+00,2021,2021,2500 ERIE BLVD E ,BURGLARY,43.053478371990415,-76.10403354272995,252
-8471858.51441823,5320115.25642467,2023/10/17 00:00:00+00,1439,1439,2500 ERIE BLVD E ,LARCENY,43.053478371990415,-76.10403354272995,252
-8471858.51441823,5320115.25642467,2023/05/11 00:00:00+00,0820,820,2500 ERIE BLVD E ,LARCENY,43.053478371990415,-76.10403354272995,252
-8471858.51441823,5320115.25642467,2023/09/12 00:00:00+00,1517,1530,2500 ERIE BLVD E ,LARCENY,43.053478371990415,-76.10403354272995,252
-8471858.51441823,5320115.25642467,2023/08/29 00:00:00+00,1550,1550,2500 ERIE BLVD E ,LARCENY,43.053478371990415,-76.10403354272995,252
-8471858.51441823,5320115.25642467,2023/08/28 00:00:00+00,1849,1849,2500 ERIE BLVD E ,LARCENY,43.053478371990415,-76.10403354272995,252
-8471858.51441823,5320115.25642467,2023/10/13 00:00:00+00,1527,1527,2500 ERIE BLVD E ,LARCENY,43.053478371990415,-76.10403354272995,252
-8471858.51441823,5320115.25642467,2023/09/26 00:00:00+00,1820,1820,2500 ERIE BLVD E ,LARCENY,43.053478371990415,-76.10403354272995,252
-8471858.51441823,5320115.25642467,2023/04/25 00:00:00+00,1805,1805,2500 ERIE BLVD E ,LARCENY,43.053478371990415,-76.10403354272995,252
