X,Y,DATEEND,TIMESTART,TIMEEND,ADDRESS,CODE_DEFINED,latitude,longitude,CRIME_WEIGHT
-8477064.77293645,5319664.51783748,2023/03/26 00:00:00+00,0525,530,0 S WARREN ST & E WATER ST        ,MV THEFT,43.050519095459464,-76.15077176555599,2
-8477072.78782847,5318898.1493206,2023/06/10 00:00:00+00,2100,2300,0 S WARREN ST & MADISON ST        ,LARCENY,43.04548136240157,-76.15084528656415,2
-8476123.9687278,5318117.98051142,2023/09/06 00:00:00+00,1700,2308,100 DYER CT     ,BURGLARY,43.0403636172136,-76.14234478112898,40
-8477219.99872684,5319129.18917651,2023/06/20 00:00:00+00,1340,1410,100 E  JEFFERSON ST     ,LARCENY,43.047056366040195,-76.15216252281,17
-8476521.65148609,5316080.13570293,2023/03/14 00:00:00+00,1430,1757,100 E BEARD AV   ,BURGLARY,43.02696807602141,-76.14595546622137,10
-8476192.04627371,5315113.72041438,2023/07/28 00:00:00+00,0500,122,100 E BRIGHTON AV   ,MV THEFT,43.02063052679955,-76.14295877870468,6
-8476192.04627371,5315113.72041438,2023/08/04 00:00:00+00,2200,800,100 E BRIGHTON AV   ,MV THEFT,43.02063052679955,-76.14295877870468,6
-8476192.04627371,5315113.72041438,2023/05/02 00:00:00+00,0756,756,100 E BRIGHTON AV   ,LARCENY,43.02063052679955,-76.14295877870468,6
-8477219.99872684,5319129.18917651,2023/08/04 00:00:00+00,1348,1348,100 E JEFFERSON ST     ,BURGLARY,43.047056366040195,-76.15216252281,10
-8477214.12551051,5319659.62634555,2023/02/13 00:00:00+00,2310,800,100 E WATER ST     ,MV THEFT,43.050537530898204,-76.15210718237016,2
-8476673.14974333,5315616.18556417,2023/01/03 00:00:00+00,2242,2242,100 FAGE AV   ,LARCENY,43.023954681509466,-76.14718396571084,12
-8479796.48066022,5320122.57360737,2023/07/24 00:00:00+00,2109,2109,100 EUREKA ST     ,LARCENY,43.053505221083,-76.1753814908699,22
-8476673.14974333,5315616.18556417,2023/06/03 00:00:00+00,2300,1700,100 FAGE AV   ,BURGLARY,43.023954681509466,-76.14718396571084,12
-8477092.82544813,5318776.13938196,2023/08/31 00:00:00+00,0457,457,100 E ONONDAGA ST     ,LARCENY,43.04468428395821,-76.15084581700063,2
-8476232.71540252,5311085.87335652,2023/08/06 00:00:00+00,2230,2230,100 E WARRINGTON RD     ,MV THEFT,42.99430758640385,-76.14330308026936,2
-8473286.19980071,5322681.24794269,2023/09/20 00:00:00+00,2230,800,100 EDTIM RD     ,MV THEFT,43.07047885362574,-76.11667906679011,37
-8480691.06100879,5319229.91473747,2023/07/31 00:00:00+00,0106,110,100 EMERSON AV   ,LARCENY,43.04760049673896,-76.18351684399126,2
-8475269.63249021,5313888.93999601,2023/07/20 00:00:00+00,0200,215,100 BALL CIR    ,BURGLARY,43.01260129246843,-76.13464512672583,15
-8477709.98070509,5316681.65535956,2023/07/28 00:00:00+00,1010,1011,100 BALLARD AV   ,LARCENY,43.03105410889492,-76.15661949380413,2
-8475007.42176736,5317812.45394086,2023/02/16 00:00:00+00,1100,1220,100 COLLEGE PL     ,LARCENY,43.03832378450102,-76.13248556922557,2
-8478863.64024793,5317982.42822272,2023/08/13 00:00:00+00,0859,859,100 DAVIS ST     ,LARCENY,43.0393689,-76.167029,49
-8476213.67988091,5320348.68165837,2023/03/28 00:00:00+00,1531,1531,0 CATHERINE ST & JAMES ST    ,LARCENY,43.055003939211964,-76.14311729680236,2
-8478480.42301219,5316792.67316352,2023/12/01 00:00:00+00,0830,830,0 COOLIDGE AV & STERLING AV        ,MV THEFT,43.03166628850297,-76.16348572252365,2
-8473479.56175622,5322656.56165201,2023/02/28 00:00:00+00,0250,250,0 GRANT BLVD & VILLAGE DR    ,MV THEFT,43.070157854437035,-76.11856128998201,2
-8475532.6841205,5315674.15582172,2023/10/27 00:00:00+00,2159,2159,0 MOORE AV   ,BURGLARY,43.024318999770834,-76.13700226591682,10
-8477205.53643256,5320761.3978896,2023/03/30 00:00:00+00,0852,852,0 N SALINA ST & BUTTERNUT ST        ,MV THEFT,43.05771900025509,-76.15203262346738,2
-8476191.45238423,5320982.62129534,2023/06/21 00:00:00+00,0300,451,100 BEECHER ST     ,MV THEFT,43.05913658713394,-76.14295609341497,22
-8475673.80706725,5315954.23689619,2023/01/21 00:00:00+00,1748,1753,100 BENEDICT AV   ,MV THEFT,43.02620585739933,-76.13827749965238,2
-8476160.3371394,5323616.69218869,2023/07/31 00:00:00+00,1730,1000,100 BRIGGS ST     ,MV THEFT,43.07648661478866,-76.14264628753615,12
-8476775.57224646,5319925.88413564,2023/02/04 00:00:00+00,1632,1632,100 BURNET AV   ,MV THEFT,43.0522456027505,-76.14814327764755,2
-8472854.79580832,5319656.86237193,2023/08/07 00:00:00+00,1609,1609,100 CROLY ST     ,LARCENY,43.05050778960004,-76.1129532844833,99
-8476634.19883086,5315496.74686541,2023/02/28 00:00:00+00,2345,2345,100 FERNWOOD AV   ,LARCENY,43.02316831184784,-76.14682289754927,2
-8475758.93987234,5320094.79497306,2023/05/26 00:00:00+00,1615,1615,100 GERTRUDE ST     ,LARCENY,43.05328201851524,-76.13904026389821,14
-8475758.93987234,5320094.79497306,2023/10/20 00:00:00+00,1240,1240,100 GERTRUDE ST     ,LARCENY,43.05328201851524,-76.13904026389821,14
-8475994.18478438,5322974.46541715,2023/08/03 00:00:00+00,2029,2029,100 GREENLAND DR     ,BURGLARY,43.072239903510486,-76.14120680840168,45
-8475817.61971552,5317689.45693447,2023/09/09 00:00:00+00,2316,2316,100 STADIUM PL     ,LARCENY,43.03755557969304,-76.13949382827921,2
-8479345.04138586,5320192.37528778,2023/10/29 00:00:00+00,1737,1737,1000 W GENESEE ST     ,LARCENY,43.053899261426196,-76.17125701219402,38
-8474154.32484967,5316358.20359652,2023/04/02 00:00:00+00,2100,800,100 MORNINGSIDE TER    ,MV THEFT,43.02882024763384,-76.12440595150542,2
-8479345.04138586,5320192.37528778,2023/10/07 00:00:00+00,1113,1113,1000 W GENESEE ST     ,LARCENY,43.053899261426196,-76.17125701219402,38
-8471839.41600111,5320436.95508464,2023/09/28 00:00:00+00,1304,1304,100 SIMON DR     ,LARCENY,43.05561410669604,-76.1038385833689,20
-8479345.04138586,5320192.37528778,2023/08/29 00:00:00+00,2006,2006,1000 W GENESEE ST     ,LARCENY,43.053899261426196,-76.17125701219402,38
-8476861.99702556,5317007.71748703,2023/06/25 00:00:00+00,0700,1300,100 MARTIN LUTHER KING      W ,BURGLARY,43.03309719159957,-76.14886578164462,42
-8474674.4606063,5312165.99367544,2023/07/21 00:00:00+00,1302,1302,100 LAFAYETTE RD     ,LARCENY,43.00124152875205,-76.12927221127948,96
-8479345.04138586,5320192.37528778,2023/08/19 00:00:00+00,1418,1418,1000 W GENESEE ST     ,LARCENY,43.053899261426196,-76.17125701219402,38
-8474674.4606063,5312165.99367544,2023/09/18 00:00:00+00,2315,2315,100 LAFAYETTE RD     ,MV THEFT,43.00124152875205,-76.12927221127948,96
-8479345.04138586,5320192.37528778,2023/08/29 00:00:00+00,1015,1015,1000 W GENESEE ST     ,LARCENY,43.053899261426196,-76.17125701219402,38
-8476578.88250609,5322680.73821585,2023/02/14 00:00:00+00,0216,620,100 HIGH ST     ,MV THEFT,43.07028074306899,-76.14631613867301,2
-8476632.96463167,5317985.16976873,2023/03/22 00:00:00+00,1014,1014,100 LATIMER TER    ,LARCENY,43.03932311495524,-76.14687565704578,27
